product_name,alcohol_percentage
saint-roche-blanc-organic-wine,12.5
casillero-del-diablo-pinot-grigio,12.5
el-maestro-blanco,12.5
saint-roche-rose-biologique,12.5
pink-flamingo-rose,12.5
los-molinos-tempranillo,12.5
fat-bastard-rose,12.5
gort-en-gort-prestige-sauvignon-blanc,12.5
la-motte-sauvignon-blanc,12.5
saint-louis-provence-rose,12.5
mesta-tempranillo-rose,12.5
curvos-pet-nat-sparkling,12.5
wild-pig-syrah-rose,12.5
be-bio-grenache-rose,12.5
cono-sur-bicicleta-sauvignon-blanc,12.5
hey-you-rose,12.5
stormhoek-sauvignon-blanc,12.5
stormhoek-cape-rose,12.5
slurp-sauvignon-blanc,12.5
pongracz-blanc-de-blancs,12.6
pongracz-sparkling-brut,12.6
la-motte-rose,12.65
casillero-del-diablo-sauvignon-blanc,12.7
norton-coleccion-gruner-veltliner,12.8
jacob-s-creek-chardonnay,12.9
welmoed-pinot-grigio,12.95
georges-duboeuf-moulin-a-vent,13.0
penfolds-koonunga-hill-chardonnay,13.0
ah-cabernet-sauvignon,13.0
pierre-de-prunet-rose,13.0
tilia-cabernet-sauvignon-merlot,13.0
ah-excellent-selectie-kamptal-gruner-veltliner,13.0
gabriel-meffre-cotes-du-rhone-2022-saint-vincent,13.0
undurraga-merlot,13.0
undurraga-cabernet-sauvignon,13.0
ah-chardonnay,13.0
sol-y-nieve-rueda-verdejo-viura,13.0
berberana-red-dragon-tempranillo,13.0
sangre-de-toro-verdejo,13.0
w-baumgartner-blauer-zweigelt,13.0
lindeman-s-organic-tempranillo,13.0
just-red,13.0
mooi-kaap-droe-steen,13.0
hardys-bin-343-cabernet-shiraz,13.0
chateau-potensac,13.0
miraval-studio,13.0
vinas-del-vero-luces-blanco,13.0
campo-viejo-rioja-garnacha,13.0
aliwen-sauvignon-blanc-reserva,13.0
the-crossings-sauvignon-blanc,13.0
marques-de-riscal-rueda-verdejo,13.0
baglio-di-grisi-nero-d-avola-terre-siciliane,13.0
planeta-la-segreta-rosso,13.0
sarmentino-merlot,13.0
ah-excellent-de-dal-chardonnay,13.0
chateau-amsterdam-sauvignon-blanc,13.0
norton-coleccion-sauvignon-blanc,13.0
cono-sur-bicicleta-chardonnay,13.0
el-veloz-chardonnay,13.0
georges-duboeuf-pouilly-fuiss,13.0
gort-en-gort-prestige-merlot,13.0
e-guigal-crozes-hermitage,13.0
tamboerskloof-viognier,13.0
lenz-moser-blauer-zweigelt-selection,13.0
camden-park-camden-park-chardonnay,13.0
undurraga-rose,13.0
torres-celeste-verdejo,13.0
cotes-de-provence-rose,13.0
gr-vin-stellenbosch-rose,13.0
norton-coleccion-chardonnay,13.0
sarmentino-chardonnay,13.0
just-rose,13.0
cave-de-beblenheim-aoc-alsace-gewurztraminer,13.0
ah-biologisch-pinot-grigio,13.0
ah-excellent-sauvignon-blanc,13.0
santa-julia-el-zorrito-natural-wit,13.0
tilia-cabernet-franc-merlot-petit-verdot,13.0
vina-albali-reserva,13.0
ogio-primitivo,13.0
ah-excellent-selectie-touraine-sauvignon-blanc,13.0
blind-river-sauvignon-blanc,13.0
georges-duboeuf-brouilly,13.0
neil-ellis-groenekloof-sauvignon-blanc,13.0
mooi-kaap-droe-rooi,13.0
settesoli-vermentino,13.0
tilia-chardonnay,13.0
